message_enqueued_time,Press_Samskipahöllin,Press_Leikskolinn_Adalthing,Press_Leikskolinn_Baugur,Press_Vatnsendaskoli,Press_Leikskolinn_Solhvarf
2024-02-29 03:00:00,6.277669270833333,5.771833147321429,6.488560267857143,3.6607530381944446,
2024-02-29 04:00:00,6.247151692708333,5.774739583333333,6.456298828125,3.5956488715277777,
2024-02-29 05:00:00,6.230875651041667,5.73486328125,6.451009114583333,3.6653645833333335,5.37841796875
2024-02-29 06:00:00,6.17919921875,5.667724609375,6.428629557291667,3.5672433035714284,5.361328125
2024-02-29 07:00:00,6.105143229166667,5.60394287109375,6.309407552083333,3.6561414930555554,5.277506510416667
2024-02-29 08:00:00,6.163330078125,5.657958984375,6.335042317708333,3.6607142857142856,
2024-02-29 09:00:00,6.184895833333333,5.6781005859375,6.386311848958333,3.7266322544642856,
2024-02-29 10:00:00,6.181640625,5.695452008928571,6.424967447916667,3.6083984375,
2024-02-29 11:00:00,6.226806640625,5.756429036458333,6.448974609375,3.6387416294642856,5.3076171875
2024-02-29 12:00:00,6.255289713541667,5.775553385416667,6.455891927083333,3.5538736979166665,
2024-02-29 13:00:00,6.276506696428571,5.7989501953125,6.474202473958333,3.1134033203125,5.302734375
2024-02-29 14:00:00,6.297200520833333,5.816127232142857,6.495535714285714,3.5042317708333335,
2024-02-29 15:00:00,6.301967075892857,5.821126302083333,6.470947265625,3.75244140625,
2024-02-29 16:00:00,6.2890625,5.782877604166667,6.49139404296875,3.6884223090277777,
2024-02-29 17:00:00,6.243489583333333,5.761369977678572,6.457868303571429,3.629150390625,5.388997395833333
2024-02-29 18:00:00,6.1773681640625,5.706612723214286,6.3916015625,3.605259486607143,5.350516183035714
2024-02-29 19:00:00,6.163504464285714,5.639404296875,6.3623046875,3.6515299479166665,5.298897879464286
2024-02-29 20:00:00,6.19873046875,5.6689453125,6.393345424107143,3.647189670138889,5.34716796875
2024-02-29 21:00:00,6.156005859375,5.668131510416667,6.440022786458333,3.671177455357143,5.328369140625
2024-02-29 22:00:00,6.151936848958333,5.701729910714286,6.413981119791667,3.603515625,5.3466796875
2024-02-29 23:00:00,6.2060546875,5.719129774305555,6.426188151041667,3.5626220703124996,
2024-03-01 00:00:00,6.220296223958333,5.754743303571429,6.472574869791667,3.5986328125,5.3857421875
2024-03-01 01:00:00,6.223958333333333,5.721435546875,6.448451450892857,3.59912109375,5.37353515625
2024-03-01 02:00:00,6.204427083333333,5.710856119791667,6.446940104166667,3.6219618055555554,5.419921875000001
2024-03-01 03:00:00,6.226806640625,5.717366536458333,6.470133463541667,3.5673014322916665,
2024-03-01 04:00:00,6.216227213541667,5.75775146484375,6.484781901041667,3.5511997767857144,5.394810267857143
2024-03-01 05:00:00,6.236979166666667,5.752360026041667,6.463623046875,3.5982259114583335,5.367024739583333
2024-03-01 06:00:00,6.197102864583333,5.704752604166667,6.442522321428571,3.740478515625,5.3515625
2024-03-01 07:00:00,6.343180338541667,5.67626953125,6.368815104166667,3.75457763671875,5.32470703125
2024-03-01 08:00:00,6.205240885416667,,6.327718098958333,3.703884548611111,5.24169921875
2024-03-01 09:00:00,6.112467447916667,5.6597900390625,6.335042317708333,3.69140625,5.275472005208333
2024-03-01 10:00:00,6.17919921875,5.645345052083333,6.402994791666667,3.6611938476562504,5.215657552083335
2024-03-01 11:00:00,6.206868489583333,5.716145833333333,6.391194661458333,3.71728515625,5.318080357142857
2024-03-01 12:00:00,6.19140625,5.712483723958333,6.320452008928571,3.65234375,
2024-03-01 13:00:00,6.242268880208333,5.72021484375,6.416829427083333,3.572265625,
2024-03-01 14:00:00,6.252848307291667,,6.424560546875,3.7140447443181817,5.2802734375
2024-03-01 15:00:00,6.270751953125,,6.427408854166667,3.6875406901041665,5.205078125
2024-03-01 16:00:00,6.247965494791667,5.6982421875,6.378580729166667,3.6092122395833335,
2024-03-01 17:00:00,6.199137369791667,,6.413981119791667,3.6969549005681817,5.300292968750001
2024-03-01 18:00:00,6.180013020833333,,6.399274553571429,3.708718039772727,5.292154947916667
2024-03-01 19:00:00,6.197509765625,,6.385498046875,3.677490234375,5.325439453125
2024-03-01 20:00:00,6.160888671875,,6.370035807291667,3.645717075892857,5.3057861328125
2024-03-01 21:00:00,6.195475260416667,5.712890625,6.422991071428571,3.6129324776785716,5.310756138392857
2024-03-01 22:00:00,6.177571614583333,,6.400320870535714,3.597412109375,5.290527343750001
2024-03-01 23:00:00,6.208902994791667,,6.423746744791667,3.576931423611111,
2024-03-02 00:00:00,6.205240885416667,,6.427176339285714,3.6006673177083335,5.347377232142857
2024-03-02 01:00:00,6.222330729166667,5.714246961805555,6.444905598958333,3.6576334635416665,5.351155598958333
2024-03-02 02:00:00,6.236746651785714,5.7001953125,6.420491536458333,3.6763509114583335,5.34515380859375
2024-03-02 03:00:00,6.221110026041667,5.704345703125,6.42791748046875,3.6819893973214284,5.33203125
2024-03-02 04:00:00,6.211344401041667,5.6671142578125,6.405843098958333,3.6474609375,5.368381076388889
2024-03-02 05:00:00,6.22314453125,,6.40869140625,3.650146484375,5.3057861328125
2024-03-02 06:00:00,6.199951171875,,6.409098307291667,3.6709594726562504,5.333658854166667
2024-03-02 07:00:00,6.168038504464286,,6.409505208333333,3.7089029947916665,5.263671875
2024-03-02 08:00:00,6.146240234375,5.646240234375,6.363932291666667,3.7504069010416665,5.2880859375
2024-03-02 09:00:00,6.144205729166667,5.63690185546875,6.336263020833333,3.706787109375,
2024-03-02 10:00:00,6.171061197916667,5.667898995535714,6.39404296875,3.7470703125,
2024-03-02 11:00:00,6.144205729166667,5.633951822916667,6.369222005208333,3.647216796875,
2024-03-02 12:00:00,6.160074869791667,5.66064453125,6.379045758928571,3.6873372395833335,
2024-03-02 13:00:00,6.210530598958333,,6.364339192708333,3.6328125,
2024-03-02 14:00:00,6.23046875,,6.395263671875,3.654541015625,
2024-03-02 15:00:00,6.249186197916667,,6.390380859375,3.6501057942708335,
2024-03-02 16:00:00,6.180826822916667,5.68017578125,6.413981119791667,3.676060267857143,5.338134765625
2024-03-02 17:00:00,6.19384765625,5.654296875,6.414388020833333,3.713134765625,5.316569010416667
2024-03-02 18:00:00,6.216227213541667,5.595703125,6.385498046875,3.6331612723214293,5.357666015625
2024-03-02 19:00:00,6.197916666666667,5.648018973214286,6.346028645833333,3.5878208705357144,5.2783203125
2024-03-02 20:00:00,6.243082682291667,5.716796875,6.402994791666667,3.6201171875,5.301688058035714
2024-03-02 21:00:00,6.236572265625,5.732421875,6.4068603515625,3.601771763392857,5.3349609375
2024-03-02 22:00:00,6.220296223958333,,6.404215494791667,3.625244140625,5.334123883928571
2024-03-02 23:00:00,6.234537760416667,,6.392822265625,3.59649658203125,5.34912109375
2024-03-03 00:00:00,6.232503255208333,,6.409912109375,3.61181640625,5.326334635416667
2024-03-03 01:00:00,6.230061848958333,5.6640625,6.414388020833333,3.6273193359375,5.345458984375
2024-03-03 02:00:00,6.204427083333333,,6.404622395833333,3.6322021484375,5.34716796875
2024-03-03 03:00:00,6.2109375,,6.411539713541667,3.6373465401785716,5.352228338068182
2024-03-03 04:00:00,6.239013671875,,6.423746744791667,3.6181640625,5.350864955357143
2024-03-03 05:00:00,6.225992838541667,,6.426595052083333,3.577392578125,5.370047433035714
2024-03-03 06:00:00,6.220296223958333,,6.40869140625,3.656877790178572,5.3857421875
2024-03-03 07:00:00,6.198323567708333,5.634765625,6.399739583333333,3.648681640625,5.328125
2024-03-03 08:00:00,6.167399088541667,5.641547309027778,6.366780598958333,3.702218191964286,
2024-03-03 09:00:00,6.142171223958333,5.595160590277778,6.35986328125,3.7217494419642856,
2024-03-03 10:00:00,6.142171223958333,5.628662109375001,6.314697265625,3.62091064453125,5.219116210937501
2024-03-03 11:00:00,6.177164713541667,,6.37969970703125,3.6698404947916665,5.31005859375
2024-03-03 12:00:00,6.226806640625,,6.3787841796875,3.6265980113636362,5.309614701704546
2024-03-03 13:00:00,6.192626953125,,6.370442708333333,3.6173502604166665,5.32958984375
2024-03-03 14:00:00,6.169026692708333,,6.373291015625,3.5978190104166665,5.331333705357143
2024-03-03 15:00:00,6.226806640625,,6.409098307291667,3.5666910807291665,5.365234375
2024-03-03 16:00:00,6.230119977678571,,6.426188151041667,3.6368815104166665,5.352608816964286
2024-03-03 17:00:00,6.237386067708333,5.65966796875,6.388811383928571,3.6485460069444446,5.3204345703125
2024-03-03 18:00:00,6.368001302083333,5.684950086805555,6.392415364583333,3.6088053385416665,5.325927734375
2024-03-03 19:00:00,6.401774088541667,,6.389973958333333,3.5635141225961537,5.30426025390625
2024-03-03 20:00:00,6.402994791666667,,6.417236328125,3.583984375,5.372314453125
2024-03-03 21:00:00,6.456298828125,,6.438395182291667,3.5465494791666665,5.337320963541667
2024-03-03 22:00:00,6.501871744791667,5.72265625,6.455078125,3.5556265024038463,5.37445068359375
2024-03-03 23:00:00,6.507393973214286,,6.493326822916667,3.5074869791666665,
2024-03-04 00:00:00,6.518961588541667,,6.493094308035714,3.8344029017857144,
2024-03-04 01:00:00,6.511637369791667,5.83740234375,6.505533854166667,3.5853794642857144,
2024-03-04 02:00:00,6.476236979166667,5.772705078125,6.50146484375,3.5804966517857144,5.4296875
2024-03-04 03:00:00,6.491292317708333,5.811360677083333,6.497802734375,3.6474609375,5.380859375
2024-03-04 04:00:00,6.527099609375,5.804036458333333,6.522623697916667,3.6124674479166665,
2024-03-04 05:00:00,6.505940755208333,5.785086495535714,6.497802734375,3.57421875,
2024-03-04 06:00:00,6.500244140625,5.775146484375,6.476643880208333,3.6373465401785716,5.48095703125
2024-03-04 07:00:00,6.418050130208333,5.675223214285714,6.41845703125,3.526611328125,5.353306361607143
2024-03-04 08:00:00,6.444091796875,5.722249348958333,6.399332682291667,3.5986328125,5.344645182291667
2024-03-04 09:00:00,6.487630208333333,5.795200892857143,6.486467633928571,3.5677083333333335,5.354817708333333
2024-03-04 10:00:00,6.483968098958333,5.786946614583333,6.444905598958333,3.5323079427083335,5.400390625
2024-03-04 11:00:00,6.53564453125,5.807059151785714,6.541341145833333,3.775634765625,5.390625000000001
2024-03-04 12:00:00,6.56982421875,5.88287353515625,6.502278645833333,3.6417643229166665,5.390625000000001
2024-03-04 13:00:00,6.591796875,5.8807373046875,6.58935546875,3.5762532552083335,
2024-03-04 14:00:00,6.636555989583333,5.882975260416667,6.622314453125,3.6002604166666665,
2024-03-04 15:00:00,6.560872395833333,5.8740234375,6.593424479166667,3.604736328125,
2024-03-04 16:00:00,6.56494140625,5.850655691964286,6.573079427083333,3.6185709635416665,
2024-03-04 17:00:00,6.5673828125,5.850655691964286,6.54052734375,3.62060546875,
2024-03-04 18:00:00,6.490478515625,5.784505208333333,6.487630208333333,3.6649576822916665,5.5029296875
2024-03-04 19:00:00,6.523844401041667,5.782063802083333,6.510416666666667,3.5970052083333335,
2024-03-04 20:00:00,6.507975260416667,5.786539713541667,6.482340494791667,3.5660807291666665,
2024-03-04 21:00:00,6.548258463541667,5.771484375,6.50146484375,3.6283365885416665,
2024-03-04 22:00:00,6.534016927083333,5.849260602678571,6.539306640625,3.6490885416666665,
2024-03-04 23:00:00,6.5478515625,5.854143415178571,6.593831380208333,3.61083984375,
2024-03-05 00:00:00,6.61865234375,5.8740234375,6.578369140625,3.6478678385416665,
2024-03-05 01:00:00,6.613362630208333,5.878662109375,6.611328125,3.585205078125,
2024-03-05 02:00:00,6.579182942708333,5.869140625,6.597900390625,3.6210123697916665,
2024-03-05 03:00:00,6.589762369791667,5.86944580078125,6.609700520833333,3.6332194010416665,
2024-03-05 04:00:00,6.617431640625,5.89111328125,6.595052083333333,3.5550944010416665,
2024-03-05 05:00:00,6.602783203125,5.888671875,6.591796875,3.64990234375,
2024-03-05 06:00:00,6.5673828125,5.870884486607143,6.569010416666667,3.599853515625,
2024-03-05 07:00:00,6.49169921875,5.828857421875,6.49169921875,3.587646484375,5.41015625
2024-03-05 08:00:00,6.555989583333333,5.822347005208333,6.532389322916667,3.6177571614583335,5.374930245535714
2024-03-05 09:00:00,6.515299479166667,5.792236328125,6.5087890625,3.636474609375,5.37811279296875
2024-03-05 10:00:00,6.544596354166667,,6.511637369791667,3.6588541666666665,5.351969401041667
2024-03-05 11:00:00,6.533610026041667,5.837751116071429,6.507975260416667,3.575439453125,5.40771484375
2024-03-05 12:00:00,6.5673828125,5.831298828125,6.5625,3.6238606770833335,5.339843750000001
2024-03-05 13:00:00,6.558024088541667,5.863037109375,6.593424479166667,3.6942545572916665,5.42236328125
2024-03-05 14:00:00,6.567789713541667,,6.609293619791667,3.61083984375,
2024-03-05 15:00:00,6.612955729166667,,6.541341145833333,3.599853515625,
2024-03-05 16:00:00,6.594645182291667,,6.591099330357143,3.57666015625,
2024-03-05 17:00:00,6.526692708333333,5.792236328125,6.551513671875,3.5825892857142856,5.415445963541667
